# Prepared at ar-dns.net - Sat, 02 Feb 2019 04:38:43 GMT
2E0EMZ	46.68.9.121
4O0DPG	89.188.45.99
4O0LPG	89.188.45.100
4O0VBA	77.222.24.74
4O0VKO	46.161.120.26
5B4CY	62.228.107.142
6M0UM	1.222.53.19
6M0UN	121.65.97.60
7K1AYZ	126.120.93.43
7K1EAS	133.232.78.62
7K1JFM	218.110.170.155
7K1OZE	114.181.68.154
7K1RWL	126.208.241.239
7K2GLV	218.219.225.32
7K2TTJ	133.137.185.147
7K3LJI	210.146.236.188
7K3RPN	60.144.76.130
7K4DVT	153.249.12.67
7K4PTY	1.66.237.236
7K4QCQ	153.236.12.78
7L1DST	163.131.162.158
7L1FFN	126.200.4.240
7L1SCC	116.82.67.78
7L2JPI	106.73.64.0
7L2PBJ	157.112.28.15
7L3BRO	125.193.217.16
7L4UCV	61.117.10.200
7M1CRZ	219.126.161.110
7M1KFK	220.220.143.230
7M1VGP	153.250.45.200
7M1VGQ	122.133.42.87
7M1XBC	206.123.129.145
7M2FTR	220.100.123.30
7M2RBF	180.40.38.241
7M3OLA	160.16.65.39
7M3PEK	113.197.196.77
7M3QXW	114.147.126.241
7M3RFZ	125.2.146.15
7M3TJZ	183.177.205.138
7M4AIJ	126.11.117.5
7M4AJL	49.135.79.68
7M4LAS	153.144.235.213
7M4LLE	61.213.69.197
7M4MCY	210.156.172.231
7M4NGN	58.94.10.41
7N1DAJ	160.249.132.86
7N1FRQ	1.72.103.190
7N1GQJ	114.149.232.222
7N1ICA	114.177.3.226
7N1MPI	114.181.139.32
7N1ORP	118.83.57.126
7N2CCK	153.144.241.125
7N2EYI	118.108.131.141
7N2GDV	39.110.102.10
7N2SUZ	153.248.125.181
7N2TNS	202.215.75.11
7N2VDR	180.20.5.152
7N3OQR	153.157.21.15
7N3ULM	157.107.205.171
7N4CGJ	111.99.29.8
7N4DSF	49.98.167.231
7N4GEI	1.78.147.249
7N4JXR	221.241.246.226
7N4KVA	157.107.244.224
7N4NCM	153.124.176.135
7N4OFP	157.107.24.181
7N4TDN	221.113.54.238
7N4TXU	36.9.198.7
7N4WPJ	180.57.184.166
7N4XTA	36.2.192.83
9A0DHZ	93.138.94.247
9A0DKS	80.81.9.242
9A0DOS	37.0.151.23
9A0DRI	83.177.119.63
9A0DST	77.217.167.85
9A0DZD	80.81.9.242
9A0DZG	78.134.209.194
9Y4TT	170.82.208.206
A62A	83.110.109.180
AA1HD	173.166.94.241
AA1KK	71.192.32.251
AA3E	70.91.6.205
AA4PP	208.54.85.150
AB4FL	69.247.41.169
AB4NP	75.144.12.130
AB5MF	192.253.245.23
AC6SO	67.169.21.184
AC7O	184.164.113.2
AC9AR	66.206.63.213
AE1MX	173.14.20.210
AF2A	216.59.68.165
AH2G	206.212.249.68
AI6VT	76.94.105.184
AJ5Q	24.117.111.234
AK4DB	2.29.209.252
AK4EG	65.13.128.156
AX4TUX	106.70.187.224
BA8CW	45.118.255.164
BD2RJ	124.93.76.162
BD2VAA	60.16.197.231
BD7MXN	113.105.130.27
BG0CAB	110.152.230.236
BG2RIW	221.200.59.30
BG2WMA	119.119.17.10
BG8FZ	118.113.201.89
BH2RCV	45.118.255.163
BH2SJS	202.155.249.130
BH2WY	175.160.61.192
BI1ACW	222.128.177.250
BI8BKX	125.65.16.173
BM2LBP	220.135.54.192
BM4KSB	220.133.89.28
BM4LBQ	123.110.101.202
BR2RSA	42.249.171.131
BR2SY	123.245.16.126
BU3AA	36.230.190.216
BX3AH	203.74.132.36
BX4ACB	203.74.132.34
CE3AA	191.115.113.16
CQ0DAH	84.90.202.45
CQ0DAM	148.71.216.239
CQ0DBA	94.132.23.138
CQ0DBO	176.79.101.18
CQ0DCH	2.83.253.219
CQ0DCO	2.83.61.238
CQ0DCS	77.54.11.183
CQ0DFO	82.154.193.6
CQ0DFP	89.115.160.1
CQ0DFR	77.54.142.79
CQ0DGM	188.83.121.90
CQ0DKE	89.115.25.138
CQ0DLR	213.13.57.6
CQ0DLX	85.240.34.32
CQ0DMC	84.91.174.176
CQ0DMU	89.155.246.235
CQ0DOA	188.250.123.136
CQ0DPD	176.79.107.243
CQ0DPF	95.94.111.92
CQ0DPT	85.240.54.181
CQ0DS	79.169.225.144
CQ0DSA	109.48.8.23
CQ0DSE	5.43.39.218
CQ0DSI	84.90.7.110
CQ0DSL	89.214.191.100
CQ0DSM	188.81.199.223
CQ0DTV	2.82.184.21
CQ0DVA	85.247.231.222
CQ0DVI	94.132.206.63
CQ1DAH	83.223.235.91
CQ1DUR	78.29.180.84
CX4AXX	167.56.4.116
DB0AB	95.90.217.33
DB0ABZ	87.132.55.121
DB0ADB	217.61.149.240
DB0ADN	109.90.231.155
DB0AFU	79.207.144.153
DB0AFZ	92.50.67.6
DB0AMK	93.224.88.41
DB0BHN	82.198.222.49
DB0BLB	91.35.43.179
DB0BLW	91.45.119.142
DB0BOS	94.249.216.106
DB0BS	134.19.122.94
DB0BUX	93.232.150.209
DB0CHV	80.187.108.43
