# Prepared at ar-dns.net - Sat, 04 Jul 2020 21:41:18 GMT
XRF000	000.xreflector.org
XRF001	xlx001.homepc.it
XRF002	xrf002.dstar.club
XRF003	xlx003.xrefl.net
XRF004	xrf004.kb8zgl.net
XRF005	ve3tnk.homelinux.net
XRF006	xrf006.xrefl.net
XRF007	82.223.18.138
XRF008	xrf008.kingsofdigital.net
XRF009	www.hamtalk.net
XRF010	xlx010.n8qq.com
XRF011	xlx011.warn.org
XRF012	xrf012.papasys.com
XRF013	xrf013.perform2themax.com
XRF014	xrf014.iz0rin.it
XRF015	xrf015.theapplecore.me
XRF016	xrf016.ampr.at
XRF017	92.177.212.64
XRF018	flatcap.badweather.net
XRF019	xlx019.ok2it.com
XRF020	xrf020.k2dls.net
XRF021	44.103.34.4
XRF022	xrf022.tms-it.net
XRF023	xlx023.dtdns.net
XRF024	xrf024.dstar.at
XRF025	025.ham-digital.es
XRF026	65.175.188.230
XRF027	194.116.29.78
XRF028	stn028.dstar.be
XRF029	xrf029.tms-it.net
XRF030	xrf030.oe3xht.at
XRF031	98.142.187.74
XRF032	xlx032.epf.lu
XRF033	46.226.178.81
XRF034	xrf034.dynu.net
XRF035	xrf035.wa7dre.org
XRF036	xlx036.macasoft.it
XRF037	185.58.193.163
XRF038	44.103.34.19
XRF039	31.14.142.119
XRF040	xrf040.dyndns.org
XRF041	167.88.37.80
XRF042	xrf042.luthienstar.fr
XRF043	xrf043.aotnet.it
XRF044	82.1.185.173
XRF045	45.62.233.223
XRF046	xlx.c4fm.se
XRF047	xlx047.ddns.net
XRF048	xrf048.n5uxt.org
XRF049	212.71.234.224
XRF050	dstar.emcomspain.xreflector.es
XRF051	93.186.254.219
XRF052	xrf052.dip.jp
XRF053	xlx.grvdc.eu
XRF054	208.104.55.181
XRF055	dstar.zzux.com
XRF056	xrf056.homepc.it
XRF057	xlx057.ddns.net
XRF058	xrf058.dip.jp
XRF059	18.219.32.21
XRF060	212.237.36.181
XRF061	68.115.205.110
XRF062	xlx.maryland-dstar.net
XRF063	162.248.141.148
XRF064	xrf064.owari.biz
XRF065	212.237.53.67
XRF066	xlx066.homepc.it
XRF067	xrf067.f5kav.org
XRF068	xrf068.ircddb.it
XRF069	xrf069.sustrai.org
XRF070	xrf070.iptime.org
XRF071	xrf.elechomebrew.com
XRF072	xrf072.dv.or.kr
XRF073	147.102.7.34
XRF074	xrf074.dyndns.org
XRF075	xrf075.ir9bs.it
XRF076	xrf076.xreflector-jp.org
XRF077	xrf077.duckdns.org
XRF078	xlx.grvdc.eu
XRF079	xlx079.dvham.com
XRF080	jr3vh.dip.jp
XRF081	jr3vh.dip.jp
XRF082	xlx082.pungsan.com
XRF083	xlx083.pungsan.com
XRF084	45.79.93.167
XRF085	jr1ofp.dip.jp
XRF086	52.80.139.252
XRF087	44.137.36.209
XRF088	xrf088.pa4tw.nl
XRF089	xlx089.pa4tw.nl
XRF090	91.92.136.252
XRF091	89.36.219.197
XRF092	104.200.25.53
XRF093	185.177.59.221
XRF094	157.7.221.186
XRF095	xrf095.xreflector-jp.org
XRF097	80.211.154.173
XRF098	xrf098.dip.jp
XRF099	xlx099.iz7auh.net
XRF100	xlx100.xlxreflector.org
XRF101	xlx101.xlxreflector.org
XRF102	xlx102.xlxreflector.org
XRF103	xlx103.xlxreflector.org
XRF104	xlx104.xlxreflector.org
XRF105	xrf105.xlxreflector.org
XRF109	xrf109.tokyo
XRF110	xrf110.xreflector-jp.org
XRF111	xrf111.xreflector-jp.org
XRF112	112.xreflector.es
XRF113	xlx113.homepc.it
XRF114	5.135.188.16
XRF115	reflector-xlx.hb9vd.ch
XRF116	31.185.101.211
XRF118	xlx118.ns0.it
XRF119	xlx119.dvham.com
XRF120	81.150.10.63
XRF121	174.37.249.156
XRF122	xrf.vpn4ham.com
XRF123	213.126.90.100
XRF124	xrf124.xreflector-jp.org
XRF125	xlx125.dyndns.hu
XRF127	pj2man.hopto.org
XRF128	153.147.157.213
XRF129	guwgw.cir-ins.com
XRF130	194.59.177.45
XRF131	xlx131.pe1er.nl
XRF132	xrf132.dstar.radom.pl
XRF133	xrf133.gb7de.co.uk
XRF134	159.89.176.86
XRF135	74.208.214.69
XRF140	95.211.211.145
XRF145	178.59.23.138
XRF146	xlx146.ddns.net
XRF147	46.41.1.127
XRF150	argentina.mmdvm.es
XRF153	210.189.104.236
XRF155	18.235.96.93
XRF158	150.66.16.176
XRF160	61.195.109.179
XRF164	122.222.1.50
XRF168	xrf168.duckdns.org
XRF170	dvham.mooo.com
XRF171	xrf171.dvham.com
XRF175	162.248.92.25
XRF177	xlx177.webandcloud.net
XRF180	xlx180.warn.org
XRF181	122.19.214.143
XRF185	89.106.108.151
XRF190	190.194.12.53
XRF199	153.126.179.214
XRF200	xrf200.theapplecore.me
XRF202	148.251.122.251
XRF204	xlx204.ph0dv.nl
XRF206	193.190.240.227
XRF208	xrf208.f5kav.fr
XRF210	210.xreflector.org
XRF212	xlx212.dstar.club
XRF214	xlx214.sustrai.org
XRF215	185.87.96.172
XRF216	74.214.25.135
XRF220	xlx220.sapotech.com
XRF222	xlx222.webandcloud.net
XRF223	xrf223.parkerradio.org
XRF224	xrf224.xreflector-jp.org
XRF226	xrf226.hamnet.ro
XRF227	89.33.44.100
XRF228	212.237.33.114
XRF229	dstar.hamnet.xyz
XRF230	ref.dstar.cz
XRF232	xrf232.tms-it.net
XRF233	xlx233.f1smf.com
XRF235	xlx235.duckdns.org
XRF238	xlx.brandmeister.digital
XRF241	151.80.158.227
XRF242	xrf242.k7edw.com
XRF246	xlx.mkagawa.com
XRF248	xrf248.dyndns.org
XRF250	xrf250.dstar.su
XRF252	je7zbu.jpn.ph
XRF255	xrf255.reflector.up4dar.de
XRF257	47.157.82.87
XRF258	75.60.237.19
XRF261	44.144.0.23
XRF262	xrf262.reflector.up4dar.de
XRF263	85.214.193.146
XRF264	52.2.131.118
XRF265	51.255.43.60
XRF266	212.237.51.82
XRF268	194.38.140.204
XRF270	xrf270.reflector.up4dar.de
XRF272	200.231.36.188
XRF275	xrf275.dyndns.org
XRF277	xlx277.dyndns.org
XRF280	95.234.119.44
XRF282	xrf282.dip.jp
XRF284	95.158.165.32
XRF285	91.92.93.15
XRF287	43.245.172.2
XRF288	99.108.210.100
XRF290	44.182.7.20
XRF291	xrf291.xreflector-jp.org
XRF295	xrf295.dyndns.org
XRF298	xrf298.dip.jp
XRF299	xlx299.zl2ro.nz
XRF300	300.xreflector.org
XRF302	xlx302.hopto.org
XRF303	75.70.52.143
XRF305	145.239.116.57
XRF307	xlx307.ddns.net
XRF310	xrf310.xrefl.net
XRF311	91.204.44.37
XRF312	xrf312.xrefl.net
XRF313	xlx313.openstd.net
XRF314	162.248.10.154
XRF315	65.101.7.50
XRF317	xrf317.crossroadsdmr.org
XRF318	xrf318.xrefl.net
XRF321	vps.makeitrad.com
XRF328	cisarbasel.ddns.net
XRF329	114.181.139.32
XRF330	18.222.199.205
XRF332	188.213.168.99
XRF333	xrf333.f1smf.com
XRF334	96.47.95.121
XRF335	185.206.145.2
XRF336	xrf336.mawcg.org
XRF338	122.116.216.47
XRF339	xlx339.avarc.ca
XRF345	xrf345.dyndns.org
XRF350	350.opendstar.eu
XRF352	35.230.162.146
XRF353	94.173.206.53
XRF356	93.152.167.4
XRF357	xlx357.w6kd.com
XRF358	93.152.167.4
XRF359	94.156.172.213
XRF360	xrf360.dip.jp
XRF364	159.65.231.53
XRF365	xrf365.dip.jp
XRF367	xrf367.ad6dm.net
XRF370	xrf370.selfip.com
XRF371	xlx371.selfip.com
XRF373	xrf73.dip.jp
XRF374	xrf374.xreflector-jp.org
XRF376	75.145.119.225
XRF377	186.159.96.100
XRF379	104.218.36.162
XRF380	kdk.ddns.net
XRF382	xrf382.pgw.jp
XRF387	195.130.59.77
XRF388	138.197.67.52
XRF389	xlxdmr.duckdns.org
XRF390	xrf390.aotnet.it
XRF393	139.91.200.186
XRF395	5.249.151.111
XRF398	104.167.117.71
XRF399	185.227.110.247
XRF400	xlx400.iz7auh.net
XRF404	xlx.bendiksverden.net
XRF410	xlx.n5amd.com
XRF411	82.171.119.45
XRF412	xrf412.dip.jp
XRF420	kc9qen.com
XRF421	118.189.181.236
XRF423	4ix.hacktic.de
XRF431	xrf431.xreflector-jp.org
XRF433	xrf433.de
XRF434	51.254.128.134
XRF438	80.211.189.236
XRF440	xrf440.e-kyushu.net
XRF441	xrf441.xreflector-jp.org
XRF443	xrf443.arisondrio.it
XRF444	xlx444.pa3dfn.nl
XRF446	78.226.112.146
XRF449	159.89.183.117
XRF450	450.xreflector.org
XRF454	218.250.250.21
XRF455	208.71.169.83
XRF456	xrf456.de
XRF460	183.53.66.145
XRF464	52.192.129.174
XRF470	104.49.29.243
XRF473	104.49.29.243
XRF477	139.162.213.89
XRF479	198.58.106.10
XRF486	xlx486.iz8gur.it
XRF487	93.66.214.109
XRF490	xrf490.dyndns.org
XRF499	xrf499.xreflector-jp.org
XRF500	xrf500.org
XRF501	104.130.72.187
XRF502	74.208.88.137
XRF505	110.141.219.161
XRF506	121.200.19.211
XRF508	185.188.4.15
XRF510	xrf510.s56g.net
XRF511	xlx511.ddns.net
XRF515	shounandstar.dip.jp
XRF518	xrf518.n18.de
XRF519	xrf519.ve3zin.com
XRF520	dstar.thdar.com
XRF521	150.129.184.54
XRF522	14.102.146.160
XRF523	175.142.199.32
XRF525	80.211.68.38
XRF530	116.251.193.99
XRF534	208.71.169.83
XRF538	xrf538.dip.jp
XRF544	xlx544.ddns.net
XRF550	550.xreflector.es
XRF551	140.227.198.45
XRF553	45.79.92.86
XRF554	52.35.183.178
XRF555	xrf555.w6kd.com
XRF556	xrf556.w6kd.com
XRF559	98.239.113.175
XRF567	212.91.156.69
XRF569	xlxreflector.jpn.ph
XRF570	104.128.230.153
XRF573	216.189.148.204
XRF580	67.20.31.79
XRF583	116.70.240.104
XRF587	68.32.126.21
XRF595	hamradio.dip.jp
XRF599	xrf599.n5wls.net
XRF600	xrf600.gb7de.co.uk
XRF601	51.141.52.193
XRF602	212.56.100.200
XRF603	xlx603.cnharc.org
XRF604	139.162.241.24
XRF605	183.76.179.238
XRF608	xrf608.dip.jp
XRF609	219.122.253.83
XRF610	xrf610.vkradio.com
XRF613	198.50.202.39
XRF619	167.99.168.82
XRF626	626.onnz.net
XRF627	121.75.75.200
XRF630	61.195.125.81
XRF634	xrf634.dip.jp
XRF647	217.182.168.54
XRF651	66.240.165.26
XRF655	146.64.235.19
XRF666	vpngrf.webandcloud.net
XRF673	xrf673.xreflector-jp.org
XRF678	xrf678.ddns.net
XRF684	212.237.17.83
XRF689	97.107.128.47
XRF695	155.254.33.145
XRF698	203.137.123.89
XRF699	xlx.tekniksnack.se
XRF700	xrf700.d-star.se
XRF701	xrf701.xreflector-jp.org
XRF703	61.195.98.254
XRF704	150.66.34.110
XRF706	xlx706.iz0rin.it
XRF707	xrf707.openquad.net
XRF708	xrf708.xreflector-jp.org
XRF709	xlx.dvmega.co.uk
XRF710	oe7mfi.ddns.net
XRF711	212.237.18.27
XRF712	xrf712.ddo.jp
XRF713	218.251.63.99
XRF714	xrf714.ea3hkb.com
XRF715	xlx715.ea3hkb.net
XRF716	xlx716.duckdns.org
XRF717	44.137.70.100
XRF719	199.227.117.121
XRF720	xrf720.freestar.us
XRF722	722.xreflector.es
XRF723	45.33.118.112
XRF724	xlx.dvbrazil.com.br
XRF725	172.245.9.180
XRF727	w4icy.inerrantenergy.com
XRF730	186.64.123.59
XRF732	xlx.hk4km.co
XRF733	xlx733.ddns.net
XRF735	104.131.81.32
XRF737	195.130.75.246
XRF738	210.171.151.238
XRF740	imagewell.duckdns.org
XRF741	203.137.78.41
XRF746	178.254.34.44
XRF747	xrf747.de
XRF748	xrf748.dyndns.org
XRF749	45.77.102.203
XRF750	203.86.206.49
XRF751	203.118.145.79
XRF752	xlx752.zl2wl.nz
XRF755	xlx.radioamateur.tk
XRF757	xrf757.openquad.net
XRF762	129.21.36.65
XRF766	xlx.amrase.org.br
XRF767	xrf767.de
XRF768	80.211.199.231
XRF770	153.126.173.9
XRF773	xrf773.iz0rin.it
XRF775	149.202.61.17
XRF776	xlx776.tokyo
XRF777	112.218.40.91
XRF780	96.53.97.22
XRF781	xrf781.xreflector-jp.org
XRF782	122.16.56.210
XRF787	xrf787.de
XRF788	192.168.0.96
XRF789	xrf789.dstarxlx.com.br
XRF794	xrf794.xreflector-jp.org
XRF800	87.252.188.119
XRF801	f4hin.fr
XRF803	77.117.21.251
XRF806	92.107.25.23
XRF807	hajikko.iobb.net
XRF808	xrf808.n5wls.net
XRF809	78.46.11.69
XRF810	810.xreflector.org
XRF811	64.137.238.189
XRF812	xrf812.xreflector-jp.org
XRF813	xlx.inerrantenergy.com
XRF817	18.235.96.93
XRF818	120.79.155.116
XRF825	51.75.252.197
XRF828	xlx828.ddnss.de
XRF833	78.226.112.146
XRF842	xlx842.va6mo.ca
XRF844	137.226.79.122
XRF847	162.243.4.29
XRF850	xrf850.xrfmaster.net
XRF851	xrf851.rsdt.de
XRF852	42.2.140.44
XRF855	24.95.168.227
XRF858	xrf858.ke0lmx.net
XRF859	xlx859.ke0lmx.net
XRF860	xrf.njpaasterisk.org
XRF861	172.105.26.148
XRF865	45.32.212.226
XRF866	93.233.176.219
XRF867	51.254.115.5
XRF870	xrf870.ddns.net
XRF871	222.172.252.56
XRF878	xrf878.xreflector-jp.org
XRF880	176.10.105.211
XRF883	xrf883.dip.jp
XRF886	xrf886.metropit.net
XRF887	118.163.103.177
XRF888	xlx888.ns0.it
XRF889	130.149.36.93
XRF893	104.223.59.212
XRF897	92.222.23.124
XRF900	94.177.237.192
XRF901	xrf901.dyndns.org
XRF902	xrf902.dyndns.org
XRF903	80.211.29.226
XRF904	211.14.169.215
XRF905	199.212.121.20
XRF906	xrf906.radioclubveleta.es
XRF907	xlx907.ddns.net
XRF908	92.222.23.124
XRF909	www.ealink.es
XRF910	92.177.212.64
XRF911	5.196.73.89
XRF912	80.211.1.143
XRF915	72.28.30.93
XRF919	80.211.232.174
XRF920	xrf920.oe7xxr.ampr.at
XRF921	xlx921.oe7xxr.ampr.at
XRF922	xrf922.mb6er.com
XRF925	90.255.232.101
XRF929	xrf929.ddns.net
XRF930	xreflector.ddns.net
XRF931	xref.kw4yb.com
XRF933	164.132.104.167
XRF935	xlx935.ddns.net
XRF940	xrf940.xreflector-jp.org
XRF944	xrf944.xreflector-jp.org
XRF945	xlx945.xreflector.es
XRF946	212.227.174.45
XRF950	xlx950.epf.lu
